Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocityx,velocityy,velocityz,distancex,distancey,distancez,rpm,rudderangle,sternangle
02.08.2026,05:31:17,14946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-30
02.08.2026,05:31:17,15052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-30
02.08.2026,05:31:17,15158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-30
02.08.2026,05:31:17,15264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-30
02.08.2026,05:31:17,15370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-30
02.08.2026,05:31:17,15476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-30
02.08.2026,05:31:17,15582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-30
02.08.2026,05:31:17,15688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-29.72385
02.08.2026,05:31:17,15794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-30
02.08.2026,05:31:17,15900,0,0,0,0,-7,0,90,0,0,0,0,0,0,0,-55,-30
02.08.2026,05:31:17,16006,0,-0.46,0.6,-0.43,-6.875,-0.375,90.0625,0,0,0,0,0,0,0,-55,-9.34375
02.08.2026,05:31:17,16112,0.001023,-0.06,0.09,-0.45,-10.625,-3.875,90.125,0,0,0,0,0,0,0,-55,1.967049
02.08.2026,05:31:17,16218,0,-0.01,0.13,-0.45,-10.75,-4.0625,90.125,0,0,0,0,0,0,0,-55,2.40625
02.08.2026,05:31:17,16324,0,-0.05,0.12,-0.39,-10.875,-4.25,90.0625,0,0,0,0,0,0,0,-55,2.78125
02.08.2026,05:31:17,16430,0,0.05,0.06,-0.31,-10.9375,-4.1875,89.9375,0,0,0,0,0,0,0,-55,2.8125
02.08.2026,05:31:17,16536,0,0,0.02,-0.24,-10.9375,-4.1875,89.8125,0,0,0,0,0,0,0,-55,2.8125
02.08.2026,05:31:17,16642,0,-0.08,0.02,-0.26,-10.9375,-4.25,89.625,0,0,0,0,0,0,0,-55,2.8125
02.08.2026,05:31:17,16748,0,0.06,0.01,-0.35,-10.9375,-3.9375,89.5,0,0,0,0,0,0,0,-55,3.088654
02.08.2026,05:31:17,16854,0.003068,-0.05,0.03,-0.36,-10.8125,-4.0625,89.375,0,0,0,0,0,0,0,-55,2.713654
02.08.2026,05:31:17,16960,0,0.04,0.1,-0.38,-10.8125,-4,89.3125,0,0,0,0,0,0,0,-55,2.713654
02.08.2026,05:31:17,17066,0,0.04,0.08,-0.39,-10.8125,-4,89.3125,0,0,0,0,0,0,0,-55,2.4375
02.08.2026,05:31:17,17172,0,-0.01,0.07,-0.32,-10.8125,-4.25,89.375,0,0,0,0,0,0,0,-55,2.4375
02.08.2026,05:31:17,17278,0,0,0.02,-0.28,-10.8125,-4.375,89.4375,0,0,0,0,0,0,0,-55,2.713654
02.08.2026,05:31:17,17384,0,0.03,-0.02,-0.29,-10.8125,-4.375,89.5,0,0,0,0,0,0,0,-55,2.4375
02.08.2026,05:31:17,17490,0.002046,0.01,0.04,-0.35,-10.875,-4.5625,89.5,0,0,0,0,0,0,0,-55,2.78125
02.08.2026,05:31:17,17596,0,0.05,0.04,-0.18,-10.875,-4.5625,270,0,0,0,0,0,0,0,0,2.502266
02.08.2026,05:31:17,17702,0.001023,-0.21,0,-0.28,-10.9375,-4.5625,270,0,0,0,0,0,0,0,0,3.060799
02.08.2026,05:31:17,17808,0.001023,0.02,0.03,-0.43,-10.9375,-4.75,270,0,0,0,0,0,0,0,0,2.781815
02.08.2026,05:31:17,17914,0.007159,-0.17,-0.02,-0.22,-10.875,-4.875,269.9375,0,0,0,0,0,0,0,-0.1875,3.576187
02.08.2026,05:31:17,18020,0,-0.07,0.09,-0.25,-10.9375,-4.75,269.9375,0,0,0,0,0,0,0,-0.1875,2.625
02.08.2026,05:31:17,18126,0.002046,-0.33,0.05,-0.1,-11,-4.8125,270,0,0,0,0,0,0,0,0,3.092049
02.08.2026,05:31:17,18232,0,0.65,-0.07,-0.55,-11,-4.875,270.125,0,0,0,0,0,0,0,0.375,2.444862
02.08.2026,05:31:17,18338,0.006137,0.13,0.03,-0.02,-10.8125,-4.875,270.0625,0,0,0,0,0,0,0,0.375,2.560799
02.08.2026,05:31:17,18444,0.008182,-0.48,0.12,-0.18,-10.75,-4.625,270,0,0,0,0,0,0,0,-0.15625,2.09375
02.08.2026,05:31:17,18550,0.004091,0.18,-0.07,-0.57,-10.625,-4.5625,270.0625,0,0,0,0,0,0,0,0.34375,1.503963
02.08.2026,05:31:17,18656,0,-0.15,-0.02,-0.23,-10.5625,-4.875,270.125,0,0,0,0,0,0,0,0.53125,1.442032
02.08.2026,05:31:17,18762,0.004091,-0.89,0.31,-0.11,-10.5625,-5.375,270.25,0,0,0,0,0,0,0,0.75,1.6875
