Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocityx,velocityy,velocityz,distancex,distancey,distancez,rpm,rudderangle,sternangle
07.08.2026,23:09:50,105364,0.146258,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,23:09:50,105470,0.15444,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,23:09:50,105576,0.151372,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,23:09:50,105682,0.156486,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,23:09:50,105788,0.157509,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,23:09:50,105894,0.146258,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,23:09:50,106000,0.158532,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-39.87585
07.08.2026,23:09:50,106106,0.152395,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,23:09:50,106212,0.15444,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,23:09:50,106318,0.15444,0,0,0,-7,0,90,0,0,0,0,0,0,1000,-50,-40
07.08.2026,23:09:50,106424,0.148304,0.02074,-0.05,-0.33,-6.875,-0.3125,90.125,-0.023009,0,0,-0.002301,0,0,1000,-50,-19.55428
07.08.2026,23:09:50,106530,0.1616,0.011611,-0.07,-0.35,-15.125,-5.875,90.1875,-0.027078,0,0,-0.005009,0,0,1000,-50,5.864521
07.08.2026,23:09:50,106636,0.155463,0.112254,-0.07,-0.34,-15,-5.875,90.125,-0.020015,0,0,-0.00701,0,0,1000,-50,4.725266
07.08.2026,23:09:50,106742,0.146258,0.002596,-0.03,-0.39,-14.9375,-6.125,90.0625,-0.010624,0,0,-0.008073,0,0,1000,-50,4.384346
07.08.2026,23:09:50,106848,0.156486,0.03286,-0.07,-0.38,-14.9375,-5.9375,90,-0.008209,0,0,-0.008893,0,0,1000,-50,5.212803
07.08.2026,23:09:50,106954,0.149327,0.032965,-0.05,-0.34,-15,-5.8125,89.9375,-0.003264,0,0,-0.00922,0,0,1000,-50,5.40313
07.08.2026,23:09:50,107060,0.158532,0.012956,-0.06,-0.33,-15.25,-5.9375,89.8125,0.000284,0,0,-0.009191,0,0,1000,-50,5.747452
07.08.2026,23:09:50,107166,0.162623,0.012878,-0.07,-0.35,-15.4375,-5.9375,89.8125,0.002419,0,0,-0.008949,0,0,1000,-50,5.178062
07.08.2026,23:09:50,107272,0.159554,0.032774,-0.04,-0.37,-15.5625,-5.9375,89.8125,0.003222,0,0,-0.008627,0,0,1000,-50,6.750286
07.08.2026,23:09:50,107378,0.155463,0.032593,-0.04,-0.34,-15.5625,-5.9375,89.8125,0.005648,0,0,-0.008062,0,0,1025,-50,6.780968
07.08.2026,23:09:50,107484,0.157509,0.04231,-0.03,-0.31,-15.4375,-6,89.8125,0.008778,0,0,-0.007185,0,0,1055,-50,6.00425
07.08.2026,23:09:50,107590,0.156486,-0.037788,-0.09,-0.31,-15.3125,-6.0625,89.875,0.011898,0,0,-0.005995,0,0,1080,-50,5.938919
07.08.2026,23:09:50,107696,0.152395,0.002115,-0.23,-0.14,-15.25,-6.1875,89.9375,0.015099,0,0,-0.004485,0,0,1105,-50,4.800224
07.08.2026,23:09:50,107802,0.155463,0.051913,-0.17,-0.25,-15.1875,-6.3125,89.9375,0.024769,0,0,0.000172,0,0,1135,-50,5.413895
07.08.2026,23:09:50,107908,0.159554,0.181843,-0.06,-0.67,-15.125,-6.25,89.9375,0.023698,0,0,0.002542,0,0,1160,-50,5.134346
07.08.2026,23:09:50,108014,0.177965,0.061922,-0.37,-1.2,-14.3125,-6.625,270,0.036857,0,0,0.006227,0,0,1185,0,2.734985
07.08.2026,23:09:50,108120,0.199443,-0.04874,-0.09,-0.82,-11.25,-8.375,270,0.049569,0,0,0.011184,0,0,1210,0,-3.38765
07.08.2026,23:09:50,108226,0.219899,0.001285,0.21,-0.37,-8.8125,-9.0625,270,0.053241,0,0,0.016508,0,0,1240,0,-11.62802
07.08.2026,23:09:50,108332,0.225013,0.131518,-0.08,-0.4,-7.4375,-9.3125,270,0.052065,0,0,0.021715,0,0,1265,0,-16.41154
07.08.2026,23:09:50,108438,0.266947,-0.028408,-0.22,-0.41,-6.875,-9.625,270,0.057804,0,0,0.027495,0,0,1290,0.15625,-17.2314
07.08.2026,23:09:50,108544,0.290471,0.031788,-0.24,-0.55,-6.875,-9.6875,270,0.061618,0,0,0.033657,0,0,1300,0,-15.35404
07.08.2026,23:09:50,108650,0.311949,0.271453,-0.23,-0.27,-7.375,-10.5,270.0625,0.081935,0,0,0.04185,0,0,1300,0.25,-14.26652
07.08.2026,23:09:50,108756,0.333428,-0.108734,-0.02,-0.07,-8.4375,-12,270.125,0.097577,0,0,0.051608,0,0,1300,0.5,-9.705063
07.08.2026,23:09:50,108862,0.365134,0.222826,-0.19,-0.43,-10.0625,-12.0625,270.3125,0.104083,0,0,0.062016,0,0,1300,1,-4.557312
07.08.2026,23:09:50,108968,0.384567,-0.297869,-0.34,0.37,-11.5,-12.8125,270.5625,0.116158,0,0,0.073632,0,0,1300,2.40625,3.358105
07.08.2026,23:09:50,109074,0.406045,-0.105041,-0.42,0.24,-12.75,-12.5,270.9375,0.113437,0,0,0.084976,0,0,1300,3.75,4.909744
