Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocityx,velocityy,velocityz,distancex,distancey,distancez,rpm,rudderangle,sternangle
08.08.2026,02:03:48,11766,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,11872,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,11978,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,12084,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,12190,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,12296,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,12402,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,12508,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,12614,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,12720,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:03:48,12826,0,-0.81,3.17,-1.01,-7,-0.0625,90,0,0,0,0,0,0,1000,-50,-24
08.08.2026,02:03:48,12932,0,0.030618,-0.13,-0.41,-26.6875,-4.875,90.0625,-0.019551,0,0,-0.001955,0,0,1000,-50,35.0625
08.08.2026,02:03:48,13038,0,0.041019,-0.12,-0.41,-26.6875,-4.8125,90.0625,-0.012695,0,0,-0.003225,0,0,1000,-50,35.0625
08.08.2026,02:03:48,13144,0,0.001193,-0.08,-0.39,-26.6875,-4.8125,89.9375,-0.005498,0,0,-0.003774,0,0,1000,-50,35.0625
08.08.2026,02:03:48,13250,0,0.031228,-0.14,-0.39,-26.6875,-4.875,89.875,-0.001102,0,0,-0.003885,0,0,1000,-50,35.0625
08.08.2026,02:03:48,13356,0,0.031177,-0.13,-0.41,-26.6875,-4.875,89.875,0.001608,0,0,-0.003724,0,0,1000,-50,35.0625
08.08.2026,02:03:48,13462,0,0.011065,-0.09,-0.38,-26.6875,-4.9375,89.9375,0.00353,0,0,-0.003371,0,0,1000,-50,35.0625
08.08.2026,02:03:48,13568,0,0.070925,-0.13,-0.4,-26.75,-4.875,90.125,0.004402,0,0,-0.002931,0,0,1000,-50,35.25
08.08.2026,02:03:48,13674,0,0.030638,-0.15,-0.4,-26.8125,-4.875,90.25,0.009067,0,0,-0.002024,0,0,1000,-50,35.4375
08.08.2026,02:03:48,13780,0,0.030264,-0.09,-0.38,-26.75,-4.75,90.4375,0.01178,0,0,-0.000846,0,0,1015,-50,35.4375
08.08.2026,02:03:48,13886,0,0.039809,-0.13,-0.37,-26.6875,-4.75,90.5625,0.014345,0,0,0.000589,0,0,1040,-50,34.90625
08.08.2026,02:03:48,13992,0,0.029323,-0.15,-0.34,-26.6875,-4.6875,90.625,0.015283,0,0,0.002117,0,0,1065,-50,35.0625
08.08.2026,02:03:48,14098,0,-0.070783,-0.14,-0.27,-26.625,-4.8125,90.625,0.018767,0,0,0.003994,0,0,1095,-50,34.71875
08.08.2026,02:03:48,14204,0,0.009177,-0.11,-0.34,-26.625,-4.75,90.625,0.019742,0,0,0.008001,0,0,1120,-50,34.875
08.08.2026,02:03:48,14310,0,0.009054,-0.13,-0.27,-26.5,-4.75,90.625,0.025941,0,0,0.010595,0,0,1145,-50,34.6875
08.08.2026,02:03:48,14416,0,0.039034,-0.12,-0.4,-26.5,-4.75,270,0.028363,0,0,0.013431,0,0,1175,-50,34.5
08.08.2026,02:03:48,14522,0,0.068943,-0.14,-0.32,-26.5,-4.75,270,0.03395,0,0,0.016826,0,0,1200,0,34.5
08.08.2026,02:03:48,14628,0,0.038899,-0.13,-0.22,-26.5,-4.8125,270,0.039238,0,0,0.02075,0,0,1225,0,34.5
08.08.2026,02:03:48,14734,0,0.108827,-0.16,-0.22,-26.5,-4.8125,270,0.046888,0,0,0.025439,0,0,1250,0,34.5
08.08.2026,02:03:48,14840,0,0.098842,-0.21,-0.3,-26.5,-4.875,270.0625,0.053625,0,0,0.030801,0,0,1280,0.25,34.5
08.08.2026,02:03:48,14946,0,0.088913,-0.48,-0.87,-25.9375,-4.9375,270.0625,0.060819,0,0,0.036883,0,0,1305,0.25,33.28125
08.08.2026,02:03:48,15052,0,-0.12098,-0.29,-0.39,-23.875,-5.375,270.125,0.069491,0,0,0.043832,0,0,1330,0.5,24.75
