Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocityx,velocityy,velocityz,distancex,distancey,distancez,rpm,rudderangle,sternangle
08.08.2026,02:43:53,11024,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,11130,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,11236,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,11342,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,11448,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,11554,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,11660,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,11766,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,11872,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,11978,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
08.08.2026,02:43:53,12084,0,0,0,0,-7,0,90,0,0,0,0,0,0,1000,-50,-24
08.08.2026,02:43:53,12190,0,0.06,-0.09,-0.34,-19.3125,-3.0625,90.125,0,0,0,0,0,0,1000,-50,40
08.08.2026,02:43:53,12296,0,0.060442,-0.14,-0.36,-19.25,-3.1875,90.5,-0.014055,0,0,-0.001405,0,0,1000,-50,12.75
08.08.2026,02:43:53,12402,0,0.070777,-0.12,-0.39,-19.25,-3.25,90.6875,-0.004702,0,0,-0.002939,0,0,1000,-50,12.75
08.08.2026,02:43:53,12508,0,0.020925,-0.13,-0.4,-19.25,-3.3125,90.9375,-0.001415,0,0,-0.00308,0,0,1000,-50,12.75
08.08.2026,02:43:53,12614,0,0.03097,-0.11,-0.34,-19.25,-3.3125,91.125,0.000591,0,0,-0.003021,0,0,1000,-50,12.75
08.08.2026,02:43:53,12720,0,0.060951,-0.1,-0.35,-19.25,-3.3125,91.375,0.006182,0,0,-0.002403,0,0,1000,-50,12.75
08.08.2026,02:43:53,12826,0,0.01049,-0.09,-0.35,-19.125,-3.625,91.5,0.008413,0,0,-0.001562,0,0,1000,-50,12.21875
08.08.2026,02:43:53,12932,0,0.000245,-0.13,-0.37,-18.9375,-3.6875,91.5,0.007784,0,0,-0.000783,0,0,1000,-50,12
08.08.2026,02:43:53,13038,0,0.029987,-0.16,-0.38,-18.8125,-3.6875,91.4375,0.008152,0,0,0.000032,0,0,1010,-50,11.625
08.08.2026,02:43:53,13144,0,0.029698,-0.13,-0.39,-18.75,-3.6875,91.4375,0.009127,0,0,0.000945,0,0,1035,-50,11.25
08.08.2026,02:43:53,13250,0,0.029635,-0.13,-0.42,-18.75,-3.6875,91.4375,0.011182,0,0,0.002063,0,0,1065,-50,11.25
08.08.2026,02:43:53,13356,0,0.009525,-0.13,-0.27,-18.75,-3.75,91.5,0.014804,0,0,0.003543,0,0,1090,-50,11.25
08.08.2026,02:43:53,13462,0,-0.010551,-0.14,-0.3,-18.75,-3.9375,91.5625,0.017562,0,0,0.005299,0,0,1115,-50,11.25
08.08.2026,02:43:53,13568,0,-0.170503,-0.14,-0.28,-18.8125,-3.8125,91.6875,0.016773,0,0,0.006977,0,0,1140,-50,11.59375
08.08.2026,02:43:53,13674,0,0.279451,-0.04,-0.32,-18.9375,-3.75,91.75,0.01946,0,0,0.008923,0,0,1170,-50,11.96875
08.08.2026,02:43:53,13780,0,-0.201377,-0.46,-0.89,-18.3125,-4.0625,270.0625,0.047539,0,0,0.013676,0,0,1195,0.25,10.9375
08.08.2026,02:43:53,13886,0,-0.301652,-0.22,-0.71,-16.75,-4.625,270.1875,0.059115,0,0,0.019588,0,0,1220,0.90625,5.875
08.08.2026,02:43:53,13992,0.010228,0.218682,-0.15,-0.75,-14.8125,-4.3125,270.5,0.052728,0,0,0.024861,0,0,1250,2.3125,-1.536346
08.08.2026,02:43:53,14098,0.015342,-0.050916,-0.16,-0.4,-13.375,-3.5,270.875,0.045804,0,0,0.029441,0,0,1275,3.65625,-5.229515
08.08.2026,02:43:53,14204,0.058299,0.068987,-0.2,-0.35,-12.5,-3.6875,271,0.070385,0,0,0.042127,0,0,1300,4,-6.744247
08.08.2026,02:43:53,14310,0.075686,0.079245,-0.31,-0.39,-11.8125,-3.6875,271,0.070832,0,0,0.04921,0,0,1330,4,-6.855553
08.08.2026,02:43:53,14416,0.093073,0.159239,-0.24,0.02,-11.625,-3.625,270.6875,0.086749,0,0,0.057885,0,0,1355,3.5,-7.087334
08.08.2026,02:43:53,14522,0.123757,0.129992,0,-0.29,-12.125,-3.625,270.1875,0.104456,0,0,0.068331,0,0,1380,0.28125,-5.631607
08.08.2026,02:43:53,14628,0.146258,0.34186,-0.09,-0.07,-13.3125,-3.375,269.625,0.121654,0,0,0.080496,0,0,1405,-1.96875,-1.557686
08.08.2026,02:43:53,14734,0.162623,0.202321,-0.4,-0.78,-14.625,-4.125,268.9375,0.147671,0,0,0.095263,0,0,1435,-4.875,4.844597
08.08.2026,02:43:53,14840,0.18001,-0.225763,-1.16,0.27,-16.1875,-8.375,267.9375,0.170526,0,0,0.112316,0,0,1460,-8.125,9.60376
08.08.2026,02:43:53,14946,0.199443,-0.090492,-1.22,0.19,-17.625,-12.5,267.375,0.176516,0,0,0.129967,0,0,1485,-10.8125,14.35376
08.08.2026,02:43:53,15052,0.203534,-0.18528,-1.11,0.08,-18.3125,-15.5,267.1875,0.185694,0,0,0.148537,0,0,1515,-11.40625,15.84809
08.08.2026,02:43:53,15158,0.226035,-0.388985,-0.83,0.12,-17.5625,-16.625,267.0625,0.190864,0,0,0.167623,0,0,1540,-11.75,13.81287
08.08.2026,02:43:53,15264,0.203534,-0.052436,-0.57,0.03,-17.3125,-15.3125,267.4375,0.199057,0,0,0.187529,0,0,1565,-11,12.84696
08.08.2026,02:43:53,15370,0.21683,0.063201,-0.51,0,-17.3125,-13.5,268,0.22127,0,0,0.209656,0,0,1595,-8.75,14.24018
08.08.2026,02:43:53,15476,0.238309,0.178134,-0.52,-0.17,-17,-11.9375,268.8125,0.257486,0,0,0.235404,0,0,1620,-5.75,14.26407
08.08.2026,02:43:53,15582,0.251605,0.022414,-0.45,-0.1,-16.4375,-11.8125,269.625,0.308649,0,0,0.266269,0,0,1645,-2.5,13.22092
08.08.2026,02:43:53,15688,0.255696,0.519427,-0.3,-0.02,-15.75,-13.3125,270.5,0.345612,0,0,0.300831,0,0,1670,2.625,9.639069
08.08.2026,02:43:53,15794,0.262856,0.05491,-0.33,0.05,-14.9375,-17.3125,271.75,0.407601,0,0,0.341591,0,0,1700,5.75,9.147095
