Log_Date,Log_Time,Time,Depth,Ax,Ay,Az,pitch,roll,yaw,velocityx,velocityy,velocityz,distancex,distancey,distancez,rpm,rudderangle,sternangle
07.08.2026,03:12:56,24486,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,24592,0.003068,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,24698,0.011251,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,24804,0.006137,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,24910,0.009205,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,25016,0.006137,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,25122,0.005114,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,25228,0.002046,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,25334,0.006137,0,0,0,0,0,0,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,25440,0.006137,0,0,0,-7,0,90,0,0,0,0,0,0,1000,-50,-40
07.08.2026,03:12:56,25546,0.004091,0.18,0.31,-0.43,-7,-0.25,90.1875,0,0,0,0,0,0,1000,-50,-24.1841
07.08.2026,03:12:56,25652,0,0.049765,-0.01,-0.44,-8.8125,0.875,90.5,0.007321,0,0,0.000732,0,0,1000,-50,-18.62387
07.08.2026,03:12:56,25758,0.008182,0.039541,-0.1,-0.43,-8.75,0.8125,90.9375,0.006952,0,0,0.001427,0,0,1000,-50,-18.47385
07.08.2026,03:12:56,25864,0.001023,-0.060724,-0.16,-0.13,-8.75,0.625,91.5,0.008253,0,0,0.002253,0,0,1000,-50,-18.50453
07.08.2026,03:12:56,25970,0.009205,-0.040941,-0.04,-0.33,-8.6875,0.8125,92.5,0.006727,0,0,0.002925,0,0,1000,-50,-18.35111
07.08.2026,03:12:56,26076,0.012273,-0.061329,0,-0.35,-8.6875,0.6875,93.4375,0.012069,0,0,0.004132,0,0,1000,-50,-18.5693
07.08.2026,03:12:56,26182,0.005114,0.028651,0,-0.4,-8.6875,0.875,94,0.000626,0,0,0.004195,0,0,1000,-50,-18.78409
07.08.2026,03:12:56,26288,0.006137,-0.071365,-0.03,-0.31,-8.625,0.4375,94.5625,0.000486,0,0,0.004243,0,0,1000,-50,-18.32722
07.08.2026,03:12:56,26394,0.004091,-0.12134,-0.05,-0.19,-8.5625,0.0625,95,-0.000773,0,0,0.004166,0,0,1000,-50,-18.9443
07.08.2026,03:12:56,26500,0,-0.090985,0.01,-0.28,-8.75,0.1875,95.1875,-0.013793,0,0,0.001685,0,0,1025,-50,-18.53862
07.08.2026,03:12:56,26607,0.004091,-0.060542,-0.04,-0.33,-8.875,0.1875,95,-0.019209,0,0,-0.000236,0,0,1050,-50,-18.1909
07.08.2026,03:12:56,26713,0.004091,0.039634,-0.06,-0.42,-8.8125,0.5,94.5625,-0.02283,0,0,-0.002519,0,0,1075,-50,-18.65738
07.08.2026,03:12:56,26819,0.004091,-0.000244,-0.14,-0.42,-8.625,0.6875,94.0625,-0.019167,0,0,-0.004435,0,0,1105,-50,-19.83356
07.08.2026,03:12:56,26925,0.009205,-0.020306,-0.13,-0.42,-8.375,0.875,93.25,-0.019829,0,0,-0.006418,0,0,1130,-50,-19.10451
07.08.2026,03:12:56,27031,0,0.319829,-0.08,-0.48,-8.4375,1.25,92.875,-0.022773,0,0,-0.008696,0,0,1155,-50,-19.23065
07.08.2026,03:12:56,27137,0.007159,-0.000313,-0.13,-0.51,-8.5625,1.4375,269.9375,-0.016364,0,0,-0.010332,0,0,1185,0,-18.66815
07.08.2026,03:12:56,27243,0.008182,0.209191,-0.43,-0.73,-8.5,0.1875,269.6875,0.002006,0,0,-0.010132,0,0,1210,-1.25,-19.31873
